q0.95,-0.20,-0.02,0.23
q0.92,-0.32,-0.04,0.22
q0.88,-0.41,-0.09,0.23
q0.81,-0.52,-0.13,0.23
q0.72,-0.64,-0.18,0.23
q0.65,-0.70,-0.21,0.22
q0.64,-0.70,-0.23,0.23
q0.62,-0.70,-0.25,0.23
q0.62,-0.70,-0.26,0.25
q0.62,-0.69,-0.27,0.25
q0.64,-0.67,-0.28,0.27
q0.69,-0.60,-0.28,0.29
q0.77,-0.49,-0.25,0.33
q0.84,-0.34,-0.20,0.37
q0.88,-0.19,-0.15,0.41
q0.89,-0.03,-0.12,0.43
q0.90,-0.01,-0.07,0.43
q0.90,0.04,-0.02,0.44
q0.90,-0.00,0.03,0.43
q0.90,-0.01,0.03,0.42
q0.90,-0.03,0.03,0.43
q0.90,-0.03,0.03,0.43
q0.90,-0.04,0.03,0.43
q0.90,-0.04,0.03,0.43
q0.90,-0.04,0.03,0.42
q0.90,-0.04,0.03,0.42
q0.91,-0.04,0.03,0.42
q0.91,-0.04,0.03,0.42
q0.91,-0.04,0.03,0.42
q0.91,-0.04,0.03,0.42
q0.91,-0.05,0.03,0.42
q0.91,-0.05,0.03,0.41
q0.91,-0.05,0.03,0.41
q0.91,-0.05,0.03,0.41
q0.91,-0.05,0.03,0.41
q0.91,-0.05,0.03,0.41
q0.91,-0.05,0.03,0.41
q0.91,-0.05,0.03,0.41
q0.91,-0.05,0.03,0.40
q0.91,-0.05,0.03,0.40
q0.91,-0.05,0.03,0.40
q0.91,-0.05,0.03,0.40
q0.91,-0.05,0.03,0.40
q0.92,-0.05,0.03,0.40
q0.92,-0.05,0.03,0.40
q0.92,-0.05,0.03,0.40
q0.92,-0.05,0.02,0.40
